android-studio 2025.1.1.13-1
ark 25.04.3-1
base 3-2
base-devel 1-2
bind 9.20.10-1
blueman 2.4.6-1
bluez-utils 5.83-1
brightnessctl 0.5.1-3
chaotic-keyring 20250614-1
chaotic-mirrorlist 20240724-2
claude-code 1.0.43-1
cliphist 1:0.6.1-1
cmatrix 2.0-3
code 1.101.2-1
docker 1:28.3.0-1
dolphin 25.04.3-1
dunst 1.12.2-1
efibootmgr 18-3
fastfetch 2.47.0-1
ffmpegthumbs 25.04.3-1
firefox 140.0.2-1
flatpak 1:1.16.1-1
fzf 0.62.0-1
git 2.50.0-1
go 2:1.24.4-1
google-chrome 138.0.7204.92-1
grim 1.4.1-3
gst-plugin-pipewire 1:1.4.6-1
htop 3.4.1-1
hypridle 0.1.6-5
hyprland 0.49.0-2
hyprlock 0.8.2-2
hyprpaper 0.7.5-2
hyprpicker 0.4.5-3
hyprsunset 0.2.0-5
imagemagick 7.1.1.47-2
inotify-tools 4.23.9.0-2
intel-media-driver 25.2.5-1
intel-ucode 20250512-1
iwd 3.9-1
jq 1.8.1-1
kde-cli-tools 6.4.2-1
kitty 0.42.1-1
kvantum 1.1.5-1
kvantum-qt5 1.1.5-1
less 1:668-1
libpulse 17.0+r43+g3e2bb8a1e-1
libva-intel-driver 2.4.1-5
libvirt 1:11.5.0-1
lightdm-slick-greeter 2.0.9-1
linux 6.15.5.arch1-1
linux-firmware 20250627-1
linux-lts 6.12.35-1
lvm2 2.03.33-1
nano 8.5-1
network-manager-applet 1.36.0-1
networkmanager 1.52.0-1
nodejs 24.3.0-1
noto-fonts-emoji 1:2.048-1
npm 11.4.2-1
nwg-displays 0.3.25-1
nwg-look 1.0.6-1
obs-studio 31.0.4-1
pacman-contrib 1.12.0-1
pamixer 1.6-3
parallel 20250622-1
pavucontrol 1:6.1-1
pipewire 1:1.4.6-1
pipewire-alsa 1:1.4.6-1
pipewire-jack 1:1.4.6-1
pipewire-pulse 1:1.4.6-1
playerctl 2.4.1-4
podman 5.5.2-1
polkit-gnome 0.105-11
polkit-kde-agent 6.4.2-1
qemu-full 10.0.0-7
qt5-graphicaleffects 5.15.17-1
qt5-imageformats 5.15.17+kde+r2-1
qt5-quickcontrols 5.15.17-1
qt5-quickcontrols2 5.15.17+kde+r5-1
qt5-wayland 5.15.17+kde+r57-1
qt5ct 1.9-1
qt6-wayland 6.9.1-1
qt6ct 0.10-4
rofi-wayland 1.7.9.1-1
satty 0.19.0-1
sddm 0.21.0-6
slurp 1.5.0-1
smartmontools 7.5-1
starship 1.23.0-1
swww 0.10.3-1
thunar 4.20.3-1
udiskie 2.5.7-1
unzip 6.0-22
uwsm 0.23.0-1
vim 9.1.1497-1
vulkan-intel 1:25.1.5-1
vulkan-nouveau 1:25.1.5-1
vulkan-radeon 1:25.1.5-1
waybar 0.13.0-3
wget 1.25.0-2
wireless_tools 30.pre9-4
wireplumber 0.5.10-1
wl-clip-persist 0.4.3-2
wl-clipboard 1:2.2.1-3
wlogout 1.2.2-0
wofi 1.4.1-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.3.9-10
xdg-user-dirs 0.18-2
xdg-utils 1.2.1-1
xf86-video-amdgpu 23.0.0-2
xf86-video-ati 1:22.0.0-2
xf86-video-nouveau 1.0.18-1
xorg-server 21.1.18-2
xorg-xinit 1.4.4-1
yay-bin 12.5.0-1
yay-bin-debug 12.5.0-1
youtube-music 3.9.0-1
zram-generator 1.2.1-1
zsh 5.9-5
